Cast/Dive #,Date,Site,Niskin,Cruise sample ID,SH number,Latitude,Longitude,Time fired,Target depth,Actual trip depth,Altitude,Volume,Nutrients,DOC,Cell counts,CTD Salinity,Lab Salinity,CTD Temperature,Probe temperature,CTD DO2 (mg/L),Lab DO2 (mg/L),Lab DO2 (% sat),CTD pH,Lab pH,Sampling notes
GE19,8/13/21,EFGB shallow,4,PS21_125,SH18336,27.90006,-93.60975,16:30,,55,,0.98,0,0,0,,36,,25.9,,6.73,99.6,,8.28,
GE19,8/13/21,EFGB shallow,5,PS21_125,SH18337,,,,,,,,0,0,0,,36,,25.8,,6.74,99.2,,8.28,"not filtered, just measured chem for Jill B"
GE19,8/13/21,EFGB shallow,6,PS21_125,SH18338,,,,,,,,0,0,0,,36,,26,,6.69,99.4,,8.29,"not filtered, just measured chem for Jill B"
GE19,8/13/21,EFGB shallow,7,PS21_125,SH18339,,,,,,,,0,0,0,,35,,26,,6.77,101.9,,8.29,"not filtered, just measured chem for Jill B"
CTD10,8/13/21,EFGB,1,PS21_126,SH18340,27°53.461' N,93°37.221' W,20:47,80,80.3,1.5,2.48,0,0,0,36.3,37,21,24.4,4.77,6.69,93.9,8.78,8.06,
CTD10,8/13/21,EFGB,2,PS21_126,SH18341,27°53.461' N,93°37.221' W,20:47,80,80.3,1.5,3.14,0,0,0,36.3,37,21,23.6,4.77,6.75,94.9,8.78,8.07,
CTD10,8/13/21,EFGB,3,PS21_126,SH18342,27°53.461' N,93°37.221' W,20:47,80,80.3,1.5,1.56,0,0,0,36.3,36,21,23.7,4.77,6.6,95.6,8.78,8.08,
CTD10,8/13/21,EFGB,4,PS21_127,SH18343,27°53.461' N,93°37.221' W,20:48,75,75.9,6.43,3.26,0,0,0,36.2,36,21.3,23.3,5.03,7.13,99.7,8.78,8.08,
CTD10,8/13/21,EFGB,5,PS21_127,SH18344,27°53.461' N,93°37.221' W,20:48,75,75.9,6.43,3.18,0,0,0,36.2,37,21.3,23.2,5.03,7.12,100.5,8.78,8.07,
CTD10,8/13/21,EFGB,6,PS21_127,SH18345,27°53.461' N,93°37.221' W,20:48,75,75.9,6.43,3.22,0,0,0,36.2,37,21.3,23.5,5.03,7,98.5,8.78,8.07,
CTD10,8/13/21,EFGB,7,PS21_108,SH18346,27°53.461' N,93°37.221' W,20:51,60,60.9,21.7,3.3,0,0,0,36.3,37,22.8,23.5,5.29,7.11,100.3,8.79,8.08,
CTD10,8/13/21,EFGB,8,PS21_108,SH18347,27°53.461' N,93°37.221' W,20:51,60,60.9,21.7,3.24,0,0,0,36.3,37,22.8,23.8,5.29,7.05,99.1,8.79,8.09,
CTD10,8/13/21,EFGB,9,PS21_109,SH18348,27°53.461' N,93°37.221' W,20:52,40,40.62,26.4,2.9,0,0,0,35.9,36,26.4,24.9,5.45,7.11,103.2,8.81,8.12,
CTD10,8/13/21,EFGB,10,PS21_109,SH18349,27°53.461' N,93°37.221' W,20:52,40,40.62,26.4,2.76,0,0,0,35.9,36,26.4,25.5,5.45,7.25,105.3,8.81,8.11,
CTD10,8/13/21,EFGB,11,PS21_130,SH18350,27°53.461' N,93°37.221' W,20:55,5,4.7,78.8,3.04,0,0,0,31.9,34,30.6,27,4.97,6.98,104.2,8.87,8.17,
CTD10,8/13/21,EFGB,12,PS21_130,SH18351,27°53.461' N,93°37.221' W,20:55,5,4.7,78.8,2.78,0,0,0,31.9,34,30.6,27.7,4.97,6.9,105,8.87,8.17,
,8/13/21,EFGB,,Filtration blank,SH18352,,,,,,,3.14,0,0,0,,,,,,,,,,blank
GE20,8/14/21,Bright Shallow,1,PS21_134,SH18353,27.89839,-93.27212,11:57,,67,,1.04,0,0,0,,37,,22.7,,6.69,93.4,,8.09,
GE20,8/14/21,Bright Shallow,2,PS21_134,SH18354,27.89839,-93.27212,11:57,,67,,1.02,0,0,0,,37,,22.6,,6.56,92.3,,8.1,
GE20,8/14/21,Bright Shallow,3,PS21_134,SH18355,27.89839,-93.27212,11:57,,67,,0.98,0,0,0,,37,,22.1,,6.86,94,,8.09,
GE20,8/14/21,Bright Shallow,4,PS21_134,SH18356,27.89839,-93.27212,11:57,,67,,1,0,0,0,,36,,22.1,,6.57,92,,8.11,
GE20,8/14/21,Bright Shallow,7,PS21_144,SH18357,27.8951,-93.26662,16:51,,111,,0.7,0,0,0,,37,,22.2,,4.89,67,,7.97,
GE20,8/14/21,Bright Shallow,8,PS21_144,SH18358,27.8951,-93.26662,16:51,,111,,0.62,0,0,0,,37,,22.4,,4.95,69,,7.98,
CTD11,8/14/21,Bright Spooky,1,PS21_151,SH18359,27°53.721' N,93°16.007' W,20:45,110,113.7,3.046,2.78,0,0,0,36.4,38,18.2,22.3,3.14,4.76,66.1,8.64,7.96,echosounder reading 113m in depth; CTD locks on bottom in echosounder but sensors didn't show that the bottom was touched
CTD11,8/14/21,Bright Spooky,2,PS21_151,SH18360,27°53.721' N,93°16.007' W,20:45,110,113.7,3.046,2.9,0,0,0,36.4,37,18.2,21.8,3.14,4.93,66.4,8.64,7.97,
CTD11,8/14/21,Bright Spooky,3,PS21_151,SH18361,27°53.721' N,93°16.007' W,20:45,110,113.7,3.046,2.92,0,0,0,36.4,37,18.2,21.5,3.14,4.8,66.4,8.64,7.97,
CTD11,8/14/21,Bright Spooky,4,PS21_152,SH18362,27°53.721' N,93°16.007' W,20:46,105,108.4,10.6,3.18,0,0,0,36.4,37,18.8,21.4,3.23,4.8,65,8.64,7.99,
CTD11,8/14/21,Bright Spooky,5,PS21_152,SH18363,27°53.721' N,93°16.007' W,20:46,105,108.4,10.6,2.58,0,0,0,36.4,37,18.8,21.7,3.23,5.05,69.6,8.64,7.98,
CTD11,8/14/21,Bright Spooky,6,PS21_152,SH18364,27°53.721' N,93°16.007' W,20:46,105,108.4,10.6,3.12,0,0,0,36.4,37,18.8,21.6,3.23,4.7,63.3,8.64,7.98,
CTD11,8/14/21,Bright Spooky,7,PS21_153,SH18365,27°53.721' N,93°16.007' W,20:48,80,80.9,36.2,3.26,0,0,0,36.3,37,21.8,22.4,5.14,6.1,85.2,8.778,8.06,
CTD11,8/14/21,Bright Spooky,8,PS21_153,SH18366,27°53.721' N,93°16.007' W,20:48,80,80.9,36.2,3.22,0,0,0,36.3,37,21.8,22.7,5.14,6.13,83.9,8.778,8.08,
CTD11,8/14/21,Bright Spooky,9,PS21_154,SH18367,27°53.721' N,93°16.007' W,20:50,60,57,61.2,2.64,0,0,0,36.3,36,24.1,23.5,5.06,6.9,97.7,8.751,8.14,
CTD11,8/14/21,Bright Spooky,10,PS21_154,SH18368,27°53.721' N,93°16.007' W,20:50,60,57,61.2,2.76,0,0,0,36.3,36,24.1,23.9,5.06,7.14,101.4,8.751,8.14,
CTD11,8/14/21,Bright Spooky,11,PS21_155,SH18369,27°53.721' N,93°16.007' W,20:54,5,4.8,105.7,2.58,0,0,0,30.9,33,30.75,26.2,4.97,6.62,97.9,8.88,8.19,
CTD11,8/14/21,Bright Spooky,12,PS21_155,SH18370,27°53.721' N,93°16.007' W,20:54,5,4.8,105.7,2.78,0,0,0,30.9,33,30.75,26.6,4.97,6.7,99.3,8.88,8.2,
CTD11,8/14/21,Bright Spooky,,Filtration blank,SH18371,,,,,,,3.28,0,0,0,,,,,,,,,,
GE21,8/15/21,Alderdice,1,PS21_159,SH18372,28.07692,-91.9925,10:25,,64,,1.02,0,0,0,,37,,25.3,,6.89,100.1,,8.09,
GE21,8/15/21,Alderdice,2,PS21_159,SH18373,28.07692,-91.9925,10:25,,64,,1.02,0,0,0,,37,,25.4,,6.98,97.7,,8.13,
GE21,8/15/21,Alderdice,3,PS21_159,SH18374,28.07692,-91.9925,10:25,,64,,1.06,0,0,0,,37,,25.6,,6.88,100.5,,8.14,
GE21,8/15/21,Alderdice,4,PS21_159,SH18375,28.07692,-91.9925,10:25,,64,,0.98,0,0,0,,37,,25.8,,6.98,102.3,,8.14,
GE22,8/15/21,GC354,1,PS21_165,SH18376,27.59736,-91.82671,17:12,,527,,0.96,0,0,0,,36,,19,,5.56,75.4,,7.8,
GE22,8/15/21,GC354,2,PS21_165,SH18377,27.59736,-91.82671,17:12,,527,,0.8,0,0,0,,36,,18.8,,4.57,59.2,,7.82,
GE22,8/15/21,GC354,3,PS21_165,SH18378,27.59736,-91.82671,17:12,,527,,0.7,0,0,0,,36,,18.3,,4.62,61.1,,7.8,
GE22,8/15/21,GC354,4,PS21_165,SH18379,27.59855,-91.82558,18:00,,531,,0.98,0,0,0,,37,,17.8,,4.74,58.9,,7.8,
GE22,8/15/21,GC354,5,PS21_167,SH18380,27.59855,-91.82558,18:00,,531,,0.9,0,0,0,,36,,17.8,,4.74,62.2,,7.81,
GE22,8/15/21,GC354,6,PS21_167,SH18381,27.59855,-91.82558,18:00,,531,,0.9,0,0,0,,36,,18.3,,5.68,73.1,,7.81,
,,Alderdice,,Filtration blank,SH18382,,,,,,,1.06,0,0,0,,,,,,,,,,blank
CTD12,8/16/21,Diaphus,1,PS21_168,SH18383,28 05.286,90 42.077,3:07,80,79.1,NA,3.2,0,0,0,,37,,22.3,,7.16,99.3,,8,
CTD12,8/16/21,Diaphus,2,PS21_168,SH18384,28 05.286,90 42.077,3:07,80,79.1,NA,3.42,0,0,0,,37,,22.5,,7.14,98.3,,8.01,
CTD12,8/16/21,Diaphus,3,PS21_168,SH18385,28 05.286,90 42.077,3:07,80,79.1,NA,3.34,0,0,0,,36,,22.7,,7.1,98.9,,8.06,
CTD12,8/16/21,Diaphus,4,PS21_169,SH18386,28 05.286,90 42.077,,75,74,9.035,3.46,0,0,0,,37,,23,,7.12,99.4,,8.09,
CTD12,8/16/21,Diaphus,5,PS21_169,SH18387,28 05.286,90 42.077,,75,74,9.035,3.38,0,0,0,,37,,23.2,,7.07,99.8,,8.09,
CTD12,8/16/21,Diaphus,6,PS21_169,SH18388,28 05.286,90 42.077,,75,74,9.035,3.52,0,0,0,,37,,23.3,,7.17,101.2,,8.11,
CTD12,8/16/21,Diaphus,7,PS21_170,SH18389,28 05.286,90 42.077,3:11,60,60.2,22.7,3.48,0,0,0,,37,,23.3,,7.22,101.1,,8.09,
CTD12,8/16/21,Diaphus,8,PS21_170,SH18390,28 05.286,90 42.077,3:11,60,60.2,22.7,3.52,0,0,0,,37,,23.4,,7.49,105.2,,8.14,
CTD12,8/16/21,Diaphus,9,PS21_171,SH18391,28 05.286,90 42.077,3:13,40,39.8,43.3,2.82,0,0,0,,36,,23.9,,7.47,106.7,,8.14,
CTD12,8/16/21,Diaphus,10,PS21_171,SH18392,28 05.286,90 42.077,3:13,40,39.8,43.3,2.74,0,0,0,,36,,24.4,,7.36,109.8,,8.14,
CTD12,8/16/21,Diaphus,11,PS21_172,SH18393,28 05.286,90 42.077,3:16,5,4.8,78.9,2.96,0,0,0,,30,,27.2,,7.05,106.1,,8.22,
CTD12,8/16/21,Diaphus,12,PS21_172,SH18394,28 05.286,90 42.077,3:16,5,4.8,78.9,2.32,0,0,0,,30,,27.6,,7.05,106.5,,8.23,
